АО «106 экспериментальный оптико-механический завод»,,Москва,"Щелковское шоссе, д. 23",,mtc@106eomz.ru,7(499)163-24-12,
АО «192 Центральный завод железнодорожной техники»,,Брянск,"ул. Мичурина, 35",,snab192@yandex.ru,7(483)226-24-77,http://www.z192.ru
ОАО «41 центральный завод железнодорожной техники»,,Люберцы,"Проектируемый проезд 4296, владение 3",,zavodtom@yandex.ru,7(495)557-12-89,http://41zavod.ru
ОАО «Ремонтный завод средств обеспечения полетов»,216500,Рославль,"ул. Красноармейская, 6",,720RZ_snab@mail.ru; 720RZ@mail.ru,7(481)344-12-78; 7(481)346-70-08,http://www.uacrussia.ru
ООО «Автопромсервис»,160031,Вологда,"ул. Кирова, д.57-11",производство плоских приводных ремней,s540003@yandex.ru,7(8172)54-00-03; 7(8172)54-69-00,http://aps35.ru
"ООО ""АБЗ Ленинский""",392036,Тамбов,"ул. Советская, дом 94, комн.13",Произ-во бетона,snab_abz@mail.ru,7(495)779-77-77; 7(499)643-20-00,http://www.abzl.ru
ПАО «Агрегатный завод»,249401,Людиново,"ул. Черняховского, 13",производство гидравлики для всех отраслей промышленности,,7(48444)6-94-51; 7(48444)6-99-24,http://www.agregat-pro.ru
"ПО ""Агромаш""",119192,Москва,Ломоносовский проспект д.25 к.1,Пищевое оборудование,zakaz@agro-mash.ru,7(495)510-90-19,http://www.agro-mash.ru
ООО «Аланд»,426049,Ижевск,"ул. Гагарина, д.83/1 ",згот зап частей для нефтебурового и газового оборудования,,,http://aland01.ru
Группа «АРТИ»,392030,Тамбов,"Моршанское шоссе, 21","Проектир, изгот, монт, оборудования любой сложности для защиты металла от коррозии",tagat07@yandex.ru; 7563828@mail.ru,7(4752)53-60-79,http://www.arti.com.ru
"ОАО ""Айдис групп""",,Москва,"Каширское ш., 22 корп. 3 стр. 2 ",Электротехническая продукция ∙ Энергетическая организация,info@ieds.ru,7(499)753-75-78; 7(499)753-75-79; 7(499)753-75-76,http://www.ieds.ru
